epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1608,1.84102,3.05907,0.01309,0.58219,0.49722,0.52455,0.2045,1.75061,2.35112,0.01332,0.0006621,0.0006621,0.0006621
2,61.9283,1.73204,2.07265,0.01207,0.64489,0.62547,0.66319,0.24708,1.94302,1.64157,0.01477,0.00132,0.00132,0.00132
3,90.2984,1.77826,1.69057,0.01233,0.65011,0.62481,0.66743,0.27198,1.9647,1.40182,0.01498,0.00196909,0.00196909,0.00196909
4,121.273,1.78093,1.50146,0.01227,0.70041,0.6945,0.73907,0.32497,1.86636,1.36227,0.01422,0.0019604,0.0019604,0.0019604
5,155.023,1.78245,1.4131,0.01248,0.71401,0.7138,0.76745,0.34027,1.88352,1.12088,0.01416,0.0019472,0.0019472,0.0019472
6,182.223,1.76138,1.30539,0.01224,0.73796,0.74746,0.77836,0.33461,1.93811,1.12554,0.01468,0.001934,0.001934,0.001934
7,208.351,1.7622,1.28851,0.01222,0.74364,0.72146,0.7756,0.35903,1.83505,1.09051,0.01355,0.0019208,0.0019208,0.0019208
8,239.722,1.74245,1.20483,0.0122,0.76031,0.76019,0.80415,0.37097,1.88255,0.97924,0.01395,0.0019076,0.0019076,0.0019076
9,271.431,1.72788,1.17088,0.0118,0.79211,0.73727,0.81567,0.37263,1.87281,0.98189,0.01366,0.0018944,0.0018944,0.0018944
10,301.719,1.72098,1.15171,0.01178,0.77068,0.73336,0.80165,0.36243,1.86994,1.01881,0.01382,0.0018812,0.0018812,0.0018812
11,325.446,1.70937,1.10718,0.01165,0.78091,0.7564,0.81446,0.38513,1.82156,0.96509,0.01337,0.001868,0.001868,0.001868
12,355.701,1.68706,1.08752,0.01157,0.7469,0.72857,0.76567,0.3142,2.05564,1.07085,0.01478,0.0018548,0.0018548,0.0018548
13,381.495,1.68916,1.07873,0.01166,0.78312,0.76241,0.813,0.38732,1.83566,0.91729,0.01341,0.0018416,0.0018416,0.0018416
14,408.971,1.67953,1.04972,0.01121,0.79515,0.76531,0.83532,0.39493,1.83567,0.89558,0.01353,0.0018284,0.0018284,0.0018284
15,436.773,1.66988,1.02654,0.01123,0.80327,0.77043,0.83575,0.40346,1.83834,0.92587,0.01347,0.0018152,0.0018152,0.0018152
16,466.788,1.66624,1.02812,0.01131,0.81891,0.76931,0.83956,0.40056,1.875,0.90789,0.01428,0.001802,0.001802,0.001802
17,492.888,1.65025,0.98979,0.01107,0.80352,0.76491,0.83805,0.38185,1.88637,0.93896,0.01406,0.0017888,0.0017888,0.0017888
18,516.782,1.64245,0.98638,0.01101,0.80447,0.77377,0.83901,0.40249,1.81635,0.86382,0.01343,0.0017756,0.0017756,0.0017756
19,542.2,1.61257,0.96573,0.01081,0.82067,0.76833,0.82928,0.40414,1.80906,0.90411,0.01326,0.0017624,0.0017624,0.0017624
